sim,replicate,bleaching,tau,auto_tau,brightness
01M,2,power0.95,414,TRUE,1.581444240973246
01M,2,power0.95,NA,FALSE,1.8562294660664678
01M,2,power0.99,10,FALSE,0.9929012109328703
01M,2,power0.99,499,TRUE,1.6239625439954748
01M,2,power0.99,NA,FALSE,1.8832302430481953
01M,3,none,10,FALSE,1.0532436585738583
01M,3,none,696,TRUE,1.7624246151239205
01M,3,none,NA,FALSE,2.038692069186664
01M,3,exponential0.5,10,FALSE,1.0056945036493992
01M,3,exponential0.5,56,TRUE,1.2191082422194173
01M,3,exponential0.5,NA,FALSE,2.1538873057529346
01M,3,exponential0.75,10,FALSE,1.0301679842268658
01M,3,exponential0.75,111,TRUE,1.3945274763492934
01M,3,exponential0.75,NA,FALSE,1.9901018155200836
01M,3,exponential0.9,10,FALSE,1.0443300876308788
01M,3,exponential0.9,274,TRUE,1.5781915701888505
01M,3,exponential0.9,NA,FALSE,2.0001717074477776
01M,3,exponential0.95,10,FALSE,1.0489374493497894
01M,3,exponential0.95,292,TRUE,1.6034581970145603
01M,3,exponential0.95,NA,FALSE,2.016731585268332
01M,3,exponential0.99,10,FALSE,1.0523144215121887
01M,3,exponential0.99,901,TRUE,1.8014764751632726
01M,3,exponential0.99,NA,FALSE,2.0337644483307344
01M,3,linear0.5,10,FALSE,1.0091528830568341
01M,3,linear0.5,122,TRUE,1.3531248330999142
01M,3,linear0.5,NA,FALSE,2.165769419189152
01M,3,linear0.75,10,FALSE,1.031842418708907
01M,3,linear0.75,145,TRUE,1.4426048959782602
01M,3,linear0.75,NA,FALSE,1.9962968849341822
01M,3,linear0.9,10,FALSE,1.0439247086169905
01M,3,linear0.9,190,TRUE,1.5235064602928656
01M,3,linear0.9,NA,FALSE,2.0003980596455744
01M,3,linear0.95,10,FALSE,1.048788000827658
01M,3,linear0.95,371,TRUE,1.6401766753161013
01M,3,linear0.95,NA,FALSE,2.0168897272661366
01M,3,linear0.99,10,FALSE,1.0523895154842449
01M,3,linear0.99,562,TRUE,1.7217310874222884
01M,3,linear0.99,NA,FALSE,2.0338595549758818
01M,3,power0.5,10,FALSE,1.001527044793445
01M,3,power0.5,27,TRUE,1.1106118527175535
01M,3,power0.5,NA,FALSE,1.720472517279204
01M,3,power0.75,10,FALSE,1.0265952686527013
01M,3,power0.75,40,TRUE,1.2039784944422154
01M,3,power0.75,NA,FALSE,1.8516778224038584
01M,3,power0.9,10,FALSE,1.0428761421877475
01M,3,power0.9,51,TRUE,1.277350545655056
01M,3,power0.9,NA,FALSE,1.9590933421542378
01M,3,power0.95,10,FALSE,1.0480217498884594
01M,3,power0.95,438,TRUE,1.658652204247641
01M,3,power0.95,NA,FALSE,1.9983312974621459
01M,3,power0.99,10,FALSE,1.052255530711858
01M,3,power0.99,628,TRUE,1.7390205538602097
01M,3,power0.99,NA,FALSE,2.0306213750786353
05M,1,none,10,FALSE,1.7955623750196636
05M,1,none,321,TRUE,4.5567250455757735
05M,1,none,NA,FALSE,6.754897009742417
05M,1,exponential0.5,10,FALSE,1.7922654766992467
05M,1,exponential0.5,67,TRUE,2.617213851665265
05M,1,exponential0.5,NA,FALSE,7.89233839121536
05M,1,exponential0.75,10,FALSE,1.7894202077591477
05M,1,exponential0.75,127,TRUE,3.3993011545817344
05M,1,exponential0.75,NA,FALSE,6.738586654378437
05M,1,exponential0.9,10,FALSE,1.79352987400791
05M,1,exponential0.9,157,TRUE,3.7551107487741735
05M,1,exponential0.9,NA,FALSE,6.644080459840779
05M,1,exponential0.95,10,FALSE,1.7941845459822596
05M,1,exponential0.95,183,TRUE,3.966277976320933
05M,1,exponential0.95,NA,FALSE,6.682941923722103
05M,1,exponential0.99,10,FALSE,1.795324569706701
05M,1,exponential0.99,232,TRUE,4.243005458383995
05M,1,exponential0.99,NA,FALSE,6.738015299434687
05M,1,linear0.5,10,FALSE,1.794490738163575
05M,1,linear0.5,135,TRUE,3.2902240589921554
05M,1,linear0.5,NA,FALSE,7.9199921947612815
05M,1,linear0.75,10,FALSE,1.7906295295017616
05M,1,linear0.75,133,TRUE,3.450878721222126
05M,1,linear0.75,NA,FALSE,6.75787860462288
05M,1,linear0.9,10,FALSE,1.7920154758843407
05M,1,linear0.9,181,TRUE,3.901751232151665
05M,1,linear0.9,NA,FALSE,6.644068491325415
05M,1,linear0.95,10,FALSE,1.7943258794435617
05M,1,linear0.95,194,TRUE,4.022916637924848
05M,1,linear0.95,NA,FALSE,6.684556806339451
05M,1,linear0.99,10,FALSE,1.7954555909954848
05M,1,linear0.99,279,TRUE,4.416534719933796
05M,1,linear0.99,NA,FALSE,6.738477884442195
05M,1,power0.5,10,FALSE,1.64879581253809
05M,1,power0.5,20,TRUE,1.8084360481294728
05M,1,power0.5,NA,FALSE,5.396975252173917
05M,1,power0.75,10,FALSE,1.7239998917339932
05M,1,power0.75,39,TRUE,2.2218070125617198
05M,1,power0.75,NA,FALSE,5.932493863570849
05M,1,power0.9,10,FALSE,1.7698640852613312
05M,1,power0.9,71,TRUE,2.8342854583398616
05M,1,power0.9,NA,FALSE,6.4036303363002745
05M,1,power0.95,10,FALSE,1.7819809676277667
05M,1,power0.95,108,TRUE,3.3558407105023607
05M,1,power0.95,NA,FALSE,6.5727833703342675
05M,1,power0.99,10,FALSE,1.792731159385172
05M,1,power0.99,172,TRUE,3.935529983392686
05M,1,power0.99,NA,FALSE,6.71801910307832
05M,2,none,10,FALSE,1.2374715922572024
05M,2,none,921,TRUE,4.676634252263141
05M,2,none,NA,FALSE,5.7320640773831295
05M,2,exponential0.5,10,FALSE,1.1596180737862722
05M,2,exponential0.5,68,TRUE,2.094831331966355
05M,2,exponential0.5,NA,FALSE,6.576282899620056
05M,2,exponential0.75,10,FALSE,1.1987487172813398
05M,2,exponential0.75,119,TRUE,2.7763207380670956
05M,2,exponential0.75,NA,FALSE,5.584368701064409
05M,2,exponential0.9,10,FALSE,1.2225244255038035
05M,2,exponential0.9,160,TRUE,3.1983650277754014
05M,2,exponential0.9,NA,FALSE,5.570275843707441
05M,2,exponential0.95,10,FALSE,1.2297297446010462
05M,2,exponential0.95,153,TRUE,3.212404666369923
05M,2,exponential0.95,NA,FALSE,5.635791832284945
05M,2,exponential0.99,10,FALSE,1.235915414310485
05M,2,exponential0.99,157,TRUE,3.278558052022947
05M,2,exponential0.99,NA,FALSE,5.710392631748635
05M,2,linear0.5,10,FALSE,1.1690457463528274
05M,2,linear0.5,131,TRUE,2.662895089441552
05M,2,linear0.5,NA,FALSE,6.616407755270017
05M,2,linear0.75,10,FALSE,1.2011717660305175
